,Area,Bedroom,Floor,WC,Price,Date,District,City,Latitude,Longitude
17,45.0,1,-1,1,1.85,2023-05-17 13:05:30,Thanh Khê,Đà Nẵng,108.1665222,16.0263747
18,38.0,2,3,2,2.7,2023-05-13 1:01:06,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
19,8.0,-1,2,-1,3.65,2023-03-19 10:45:17,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
20,2.0,2,-1,2,3.85,2023-04-23 9:44:03,Quận 7,TP Hồ Chí Minh,106.677805,10.705888
21,68.0,2,2,2,7.5,2023-05-31 12:03:06,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
22,56.0,2,2,-1,4.1,2023-05-20 13:51:55,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
23,35.0,-1,5,-1,3.2,2023-05-16 23:56:24,Hà Đông,Hà Nội,105.7745175,20.9698363
24,70.0,4,4,4,5.2,2023-04-14 17:22:06,Long Biên,Hà Nội,105.8653592,21.0401554
25,34.0,-1,4,-1,0.0,2023-06-10 14:26:17,Đống Đa,Hà Nội,105.823545,21.023833
26,50.0,-1,-1,-1,5.6,2023-05-21 20:17:42,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
27,64.0,5,5,-1,8.8,2023-04-07 19:21:32,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
28,55.0,4,2,5,4.35,2023-05-18 9:41:36,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
29,200.0,2,-1,-1,7.2,2023-04-13 22:10:54,Biên Hòa,Đồng Nai,107.3210131,11.54331
30,66.0,2,-1,2,19.1,2023-04-25 8:59:54,Lê Chân,Hải Phòng,106.680061,20.854703
31,39.0,2,4,-1,4.0,2023-05-29 16:40:39,Hà Đông,Hà Nội,105.7745175,20.9698363
32,25.0,2,5,-1,5.2,2023-04-14 17:22:06,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
33,510.0,3,-1,2,0.51,2023-06-08 18:46:44,Hóc Môn,TP Hồ Chí Minh,106.594891,10.888477
34,75.0,-1,4,-1,36.5,2023-03-14 11:10:43,Từ Sơn,Bắc Ninh,105.913377106,21.0679313375
35,48.0,3,1,-1,4.35,2023-05-18 9:41:36,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
36,48.0,4,4,3,3.15,2023-04-27 5:24:12,Hồng Bàng,Hải Phòng,106.6510316,20.8636587
37,53.0,-1,-1,1,1.7,2023-05-24 8:45:02,Thuận An,Bình Dương,106.647584,10.866055
38,94.0,-1,-1,-1,32.0,2022-12-08 11:08:29,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
39,55.0,-1,4,-1,5.4,2023-04-25 8:54:50,Hà Đông,Hà Nội,105.7745175,20.9698363
40,55.0,4,5,4,5.6,2023-05-21 20:17:42,Long Biên,Hà Nội,105.8653592,21.0401554
41,70.0,4,4,4,7.5,2023-05-31 12:03:06,Hồng Bàng,Hải Phòng,106.6510316,20.8636587
42,50.0,2,5,3,7.0,2023-05-03 15:00:59,Thanh Xuân,Hà Nội,105.79994,20.989273
43,130.0,-1,8,-1,8.7,2022-12-24 21:14:04,Long Biên,Hà Nội,105.8653592,21.0401554
44,63.0,2,1,2,5.5,2023-06-03 9:43:37,Tân Bình,TP Hồ Chí Minh,106.609111636,10.7794703627
45,45.0,2,-1,1,3.05,2023-02-13 14:46:41,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
46,40.0,4,4,3,6.8,2023-05-04 10:23:21,Hồng Bàng,Hải Phòng,106.6510316,20.8636587
47,2653.0,2,-1,3,0.0,2023-06-10 14:26:17,Tiểu Cần,Trà Vinh,106.301315,9.8867045
48,48.0,4,4,4,4.6,2023-05-30 8:51:51,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
49,44.0,2,1,-1,4.5,2023-05-26 21:22:25,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
50,115.0,-1,-1,-1,7.9,2023-02-18 10:30:51,Quận 12,TP Hồ Chí Minh,106.6032773,10.8186095
51,40.0,2,1,2,3.8,2023-05-19 8:58:10,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
52,6.0,4,4,5,7.6,2023-04-03 11:06:44,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
53,42.0,2,4,-1,0.0,2023-06-10 14:26:17,Thanh Xuân,Hà Nội,105.79994,20.989273
54,60.0,4,2,5,7.0,2023-05-03 15:00:59,Quận 6,TP Hồ Chí Minh,106.610143,10.733814
55,48.0,4,3,4,4.8,2023-05-28 16:01:55,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
56,48.0,4,3,4,5.0,2023-05-19 7:48:17,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
57,2.0,2,-1,-1,4.1,2023-05-20 13:51:55,Quận 6,TP Hồ Chí Minh,106.610143,10.733814
58,65.0,-1,7,-1,30.0,2023-02-08 12:45:58,Cầu Giấy,Hà Nội,105.8028938,21.0288366
59,65.0,-1,7,-1,30.0,2023-02-08 12:45:58,Cầu Giấy,Hà Nội,105.8028938,21.0288366
60,150.0,3,1,1,11.0,2023-04-20 10:57:08,Biên Hòa,Đồng Nai,107.3210131,11.54331
61,55.0,2,1,2,4.45,2022-12-29 10:12:53,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
62,48.0,3,1,2,5.6,2023-05-21 20:17:42,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
63,5.0,4,1,2,3.8,2023-05-19 8:58:10,Quận 9,TP Hồ Chí Minh,106.755324,10.764192
64,31.0,2,2,2,3.98,2023-05-29 16:40:39,Tân Bình,TP Hồ Chí Minh,106.609111636,10.7794703627
65,90.0,3,-1,2,2.85,2023-04-30 19:27:08,Liên Chiểu,Đà Nẵng,108.086564,16.0329728
66,52.0,4,2,4,0.0,2023-06-10 14:26:17,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
67,72.0,-1,-1,-1,11.3,2022-10-25 19:15:54,Long Biên,Hà Nội,105.8653592,21.0401554
68,25.0,-1,-1,-1,3.2,2023-05-16 23:56:24,Tân Bình,TP Hồ Chí Minh,106.609111636,10.7794703627
69,30.0,4,5,4,5.3,2023-04-27 16:16:19,Bắc Từ Liêm,Hà Nội,105.2848986,20.5645154
70,30.0,4,5,4,5.3,2023-04-27 16:16:19,Bắc Từ Liêm,Hà Nội,105.2848986,20.5645154
71,40.0,-1,4,-1,6.9,2023-04-21 10:59:30,Hà Đông,Hà Nội,105.7745175,20.9698363
72,40.0,3,5,-1,0.0,2023-06-10 14:26:17,Đống Đa,Hà Nội,105.823545,21.023833
73,35.0,-1,4,-1,28.0,2022-11-15 16:38:10,Hà Đông,Hà Nội,105.7745175,20.9698363
74,30.0,3,-1,4,3.25,2023-04-26 22:38:13,Đống Đa,Hà Nội,105.823545,21.023833
75,40.0,4,7,4,0.13,2023-05-24 9:05:54,Long Biên,Hà Nội,105.8653592,21.0401554
76,31.0,3,-1,2,5.2,2023-04-14 17:22:06,Thanh Xuân,Hà Nội,105.79994,20.989273
77,40.0,5,5,5,5.1,2023-05-15 14:27:13,Hai Bà Trưng,Hà Nội,105.855885,21.0115747
78,81.0,-1,-1,-1,11.8,2022-11-30 13:45:52,Hoàng Mai,Hà Nội,105.849591,20.983773
79,50.0,-1,4,-1,4.5,2023-05-26 21:22:25,Hà Đông,Hà Nội,105.7745175,20.9698363
80,80.0,3,-1,3,42.6,2023-06-09 8:16:40,Hương Thủy,Thừa Thiên Huế,106.676903,20.789178
81,90.0,3,-1,3,5.95,2023-05-02 16:40:18,Thanh Khê,Đà Nẵng,108.1665222,16.0263747
82,90.0,3,-1,3,5.95,2023-05-02 16:40:18,Thanh Khê,Đà Nẵng,108.1665222,16.0263747
83,100.0,2,1,2,0.48,2023-06-08 18:46:44,Thủ Dầu Một,Bình Dương,106.595,10.9397232
84,330.0,-1,1,-1,29.0,2022-11-10 10:34:38,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
85,36.0,3,3,4,4.57,2023-05-30 19:54:03,Huế,Thừa Thiên Huế,107.4678438,16.322695
86,100.0,2,1,2,0.58,2023-05-24 9:30:48,Bến Cát,Bình Dương,106.5694448,11.0992959
87,110.0,-1,6,1,11.0,2023-04-20 10:57:08,Long Biên,Hà Nội,105.8653592,21.0401554
88,60.0,-1,5,-1,9.5,2023-03-31 21:20:03,Thanh Trì,Hà Nội,105.892628,20.983208
89,85.0,3,2,3,0.51,2023-06-08 18:46:44,Hóc Môn,TP Hồ Chí Minh,106.594891,10.888477
90,78.0,2,1,-1,64.0,2023-03-27 14:32:48,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
91,78.0,2,1,-1,64.0,2023-03-27 14:32:48,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
92,40.0,5,7,-1,6.05,2022-11-12 18:43:46,Đống Đa,Hà Nội,105.823545,21.023833
93,5.0,-1,2,-1,8.5,2023-04-25 23:14:11,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
94,44.0,-1,2,-1,5.1,2023-05-15 14:27:13,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
95,44.0,-1,2,-1,5.1,2023-05-15 14:27:13,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
96,30.0,-1,1,-1,3.0,2023-05-27 10:37:42,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
97,60.0,-1,2,-1,5.5,2023-06-03 9:43:37,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
98,35.0,2,1,2,3.7,2023-05-02 8:27:09,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
99,125.0,14,2,14,18.0,2023-02-19 10:55:04,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
100,39.0,3,5,4,5.2,2023-04-14 17:22:06,Thanh Xuân,Hà Nội,105.79994,20.989273
101,36.0,4,-1,-1,5.6,2023-05-21 20:17:42,Quận 4,TP Hồ Chí Minh,106.691167,10.748511
102,7.0,8,5,8,18.9,2022-12-06 18:54:36,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
103,78.0,2,2,-1,65.0,2023-02-24 11:18:08,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
104,62.0,2,1,3,2.47,2023-06-01 8:23:57,Tân Uyên,Bình Dương,106.6832033,10.9592354
105,62.0,2,-1,3,2.47,2023-06-01 8:23:57,Tân Uyên,Bình Dương,106.6832033,10.9592354
106,64.0,4,1,4,10.0,2023-05-05 22:54:38,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
107,54.0,4,2,3,4.9,2023-04-25 11:43:13,Quận 9,TP Hồ Chí Minh,106.755324,10.764192
108,70.0,-1,-1,-1,48.0,2023-06-09 15:03:32,Bến Cát,Bình Dương,106.5694448,11.0992959
109,42.0,-1,2,-1,9.5,2023-03-31 21:20:03,Quận 10,TP Hồ Chí Minh,106.644554,10.756368
110,53.0,-1,6,-1,14.7,2022-11-03 9:26:21,Quận 3,TP Hồ Chí Minh,106.660335,10.771637
111,70.0,2,1,2,0.48,2023-06-08 18:46:44,Bến Cát,Bình Dương,106.5694448,11.0992959
112,38.0,3,4,3,5.7,2023-04-15 6:26:35,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
113,49.0,3,1,3,5.65,2023-02-19 11:43:59,Tân Bình,TP Hồ Chí Minh,106.609111636,10.7794703627
114,320.0,4,-1,5,7.85,2023-02-07 19:49:15,Quận 7,TP Hồ Chí Minh,106.677805,10.705888
115,60.0,5,5,4,11.0,2023-04-20 10:57:08,Hai Bà Trưng,Hà Nội,105.855885,21.0115747
116,41.0,2,4,-1,8.2,2023-03-27 7:06:12,Đống Đa,Hà Nội,105.823545,21.023833
117,41.0,2,4,-1,8.2,2023-03-27 7:06:12,Đống Đa,Hà Nội,105.823545,21.023833
118,95.0,-1,5,-1,22.0,2023-03-13 17:50:03,Đống Đa,Hà Nội,105.823545,21.023833
119,70.0,3,1,2,4.2,2023-05-13 16:21:20,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
120,87.0,5,-1,5,5.4,2023-04-25 8:54:50,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
121,51.0,-1,1,2,5.3,2023-04-27 16:16:19,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
122,50.0,2,-1,-1,47.5,2023-06-08 12:08:20,Quận 9,TP Hồ Chí Minh,106.755324,10.764192
123,5.0,-1,2,3,15.8,2022-10-28 21:10:49,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
124,60.0,3,2,3,63.0,2023-02-24 9:13:23,Quận 9,TP Hồ Chí Minh,106.755324,10.764192
125,50.0,4,-1,-1,4.5,2023-05-26 21:22:25,Cầu Giấy,Hà Nội,105.8028938,21.0288366
126,4.0,3,2,3,4.8,2023-05-28 16:01:55,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
127,339.0,-1,5,-1,12.9,2023-06-08 13:09:24,Long Biên,Hà Nội,105.8653592,21.0401554
128,3.0,2,1,3,5.5,2023-06-03 9:43:37,Tân Bình,TP Hồ Chí Minh,106.609111636,10.7794703627
129,46.0,3,2,3,6.3,2023-05-11 11:41:53,Quận 3,TP Hồ Chí Minh,106.660335,10.771637
130,46.0,3,2,3,6.3,2023-05-11 11:41:53,Quận 3,TP Hồ Chí Minh,106.660335,10.771637
131,40.0,4,4,3,3.5,2023-05-29 13:05:30,Đống Đa,Hà Nội,105.823545,21.023833
132,153.0,4,-1,4,11.0,2023-04-20 10:57:08,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
133,32.0,4,4,5,6.6,2023-05-04 10:01:35,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
134,80.0,4,2,5,7.7,2023-03-25 11:25:01,Quận 7,TP Hồ Chí Minh,106.677805,10.705888
135,80.0,4,2,5,7.7,2023-03-25 11:25:01,Quận 7,TP Hồ Chí Minh,106.677805,10.705888
136,32.0,4,2,4,5.9,2023-05-11 14:48:13,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
137,80.0,-1,-1,-1,11.8,2022-11-30 13:45:52,Hoàng Mai,Hà Nội,105.849591,20.983773
138,45.0,3,2,3,4.65,2023-04-20 23:44:43,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
139,73.0,4,4,4,6.0,2023-05-20 13:31:14,Long Biên,Hà Nội,105.8653592,21.0401554
140,57.0,2,3,-1,0.0,2023-06-10 14:26:17,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
141,11.5,3,5,4,9.8,2023-02-24 22:20:35,Quận 3,TP Hồ Chí Minh,106.660335,10.771637
142,11.5,3,5,4,9.8,2023-02-24 22:20:35,Quận 3,TP Hồ Chí Minh,106.660335,10.771637
143,78.0,-1,-1,-1,12.0,2023-05-12 16:46:34,Hoàng Mai,Hà Nội,105.849591,20.983773
144,78.0,-1,-1,-1,12.0,2023-05-12 16:46:34,Hoàng Mai,Hà Nội,105.849591,20.983773
145,58.0,3,3,4,7.5,2023-05-31 12:03:06,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
146,10.0,-1,-1,-1,6.4,2023-05-04 7:57:53,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
147,22.0,-1,-1,-1,0.0,2023-06-10 14:26:17,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
148,126.0,3,1,2,1.08,2023-05-18 15:32:56,Biên Hòa,Đồng Nai,107.3210131,11.54331
149,60.0,3,2,2,6.0,2023-05-20 13:31:14,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
150,78.0,-1,-1,-1,1.85,2023-05-17 13:05:30,Quận 12,TP Hồ Chí Minh,106.6032773,10.8186095
151,120.0,3,-1,2,10.8,2022-11-02 9:43:18,Vĩnh Cửu,Đồng Nai,107.3210131,11.54331
152,7.0,3,-1,2,2.85,2023-04-30 19:27:08,Liên Chiểu,Đà Nẵng,108.086564,16.0329728
153,125.0,5,3,3,0.0,2023-06-10 14:26:17,Mê Linh,Hà Nội,105.7264842,21.1729489
154,4.0,3,2,4,7.35,2022-10-27 19:10:32,Quận 7,TP Hồ Chí Minh,106.677805,10.705888
155,45.0,4,-1,5,10.0,2023-05-05 22:54:38,Cầu Giấy,Hà Nội,105.8028938,21.0288366
156,77.0,2,2,-1,63.0,2023-02-24 9:13:23,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
157,77.0,2,2,-1,63.0,2023-02-24 9:13:23,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
158,60.0,3,2,3,63.0,2023-02-24 9:13:23,Quận 9,TP Hồ Chí Minh,106.755324,10.764192
159,90.0,2,-1,1,0.455,2023-06-08 16:15:01,Hóc Môn,TP Hồ Chí Minh,106.594891,10.888477
160,40.0,4,4,-1,3.5,2023-05-29 13:05:30,Đống Đa,Hà Nội,105.823545,21.023833
161,45.0,-1,5,-1,7.5,2023-05-31 12:03:06,Đống Đa,Hà Nội,105.823545,21.023833
162,42.0,2,3,-1,3.5,2023-05-29 13:05:30,Hai Bà Trưng,Hà Nội,105.855885,21.0115747
163,75.0,-1,4,-1,36.5,2023-03-14 11:10:43,Từ Sơn,Bắc Ninh,105.913377106,21.0679313375
164,75.0,-1,4,-1,36.5,2023-03-14 11:10:43,Từ Sơn,Bắc Ninh,105.913377106,21.0679313375
165,30.0,3,4,3,3.6,2023-05-21 16:39:53,Thanh Xuân,Hà Nội,105.79994,20.989273
166,101.0,4,4,4,12.0,2023-05-12 16:46:34,Lê Chân,Hải Phòng,106.680061,20.854703
167,46.0,5,5,-1,6.5,2023-05-07 8:02:45,Long Biên,Hà Nội,105.8653592,21.0401554
168,8.0,-1,3,3,79.0,2022-10-28 10:57:36,Phú Nhuận,TP Hồ Chí Minh,106.6817363,10.7920119
169,36.0,4,2,3,5.6,2023-05-21 20:17:42,Phú Nhuận,TP Hồ Chí Minh,106.6817363,10.7920119
170,100.0,-1,-1,-1,15.0,2023-03-26 5:33:18,Đông Anh,Hà Nội,105.2848986,20.5645154
171,61.0,2,1,3,2.47,2023-06-01 8:23:57,Tân Uyên,Bình Dương,106.6832033,10.9592354
172,61.0,2,1,3,2.47,2023-06-01 8:23:57,Tân Uyên,Bình Dương,106.6832033,10.9592354
173,40.0,2,2,2,5.1,2023-05-15 14:27:13,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
174,44.0,2,2,2,4.3,2023-05-12 16:53:40,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
175,121.0,-1,-1,-1,9.0,2023-04-24 16:39:26,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
176,40.0,4,6,5,14.3,2022-10-25 15:25:52,Đống Đa,Hà Nội,105.823545,21.023833
177,70.0,-1,4,-1,41.9,2023-06-07 11:11:08,Đống Đa,Hà Nội,105.823545,21.023833
178,28.0,2,1,2,2.9,2023-05-08 10:39:33,Tân Bình,TP Hồ Chí Minh,106.609111636,10.7794703627
179,64.0,3,2,-1,0.0,2023-06-10 14:26:17,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
180,47.0,4,4,3,3.0,2023-05-27 10:37:42,Hồng Bàng,Hải Phòng,106.6510316,20.8636587
181,33.0,3,-1,4,5.5,2023-06-03 9:43:37,Ba Đình,Hà Nội,105.760936,20.946341
182,28.0,2,-1,3,2.75,2023-03-27 19:16:59,Nam Từ Liêm,Hà Nội,105.2848986,20.5645154
183,31.0,3,5,4,3.47,2023-05-31 15:42:07,Đống Đa,Hà Nội,105.823545,21.023833
184,49.0,4,-1,4,5.75,2023-02-16 9:48:14,Thanh Xuân,Hà Nội,105.79994,20.989273
185,90.0,3,-1,2,2.85,2023-04-30 19:27:08,Liên Chiểu,Đà Nẵng,108.086564,16.0329728
186,62.0,2,1,3,2.47,2023-06-01 8:23:57,Tân Uyên,Bình Dương,106.6832033,10.9592354
187,77.0,4,6,2,13.8,2022-12-03 13:27:03,Long Biên,Hà Nội,105.8653592,21.0401554
188,50.0,3,-1,3,29.5,2022-12-09 6:13:42,Huế,Thừa Thiên Huế,107.4678438,16.322695
189,32.0,2,3,3,2.2,2023-04-21 15:17:22,Tân Bình,TP Hồ Chí Minh,106.609111636,10.7794703627
190,36.0,3,-1,4,4.98,2023-05-28 13:41:56,Hoàng Mai,Hà Nội,105.849591,20.983773
191,42.0,4,4,3,3.9,2023-05-13 20:15:20,Đống Đa,Hà Nội,105.823545,21.023833
192,116.0,18,4,18,9.5,2023-03-31 21:20:03,Thủ Đức,TP Hồ Chí Minh,106.6979004,10.7403457
193,288.0,-1,5,-1,42.0,2022-11-02 23:52:57,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
194,288.0,-1,5,-1,42.0,2022-11-02 23:52:57,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
195,196.0,-1,5,-1,26.0,2023-03-06 8:09:17,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
196,12.5,-1,4,-1,26.0,2023-03-06 8:09:17,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
197,74.0,4,4,3,5.05,2023-02-20 16:28:47,Lê Chân,Hải Phòng,106.680061,20.854703
198,45.0,7,5,-1,0.015,2023-06-10 14:26:17,Hai Bà Trưng,Hà Nội,105.855885,21.0115747
199,96.0,3,-1,2,95.0,2023-03-21 9:15:55,Vĩnh Cửu,Đồng Nai,107.3210131,11.54331
200,17.0,-1,2,-1,0.0,2023-06-10 14:26:17,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
201,200.0,-1,3,-1,26.5,2023-01-10 14:58:20,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
202,80.0,6,4,6,18.0,2023-02-19 10:55:04,Quận 2,TP Hồ Chí Minh,106.705717,10.741676
203,384.0,-1,4,-1,35.0,2022-11-07 18:11:53,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
204,100.0,3,2,2,3.8,2023-05-19 8:58:10,Biên Hòa,Đồng Nai,107.3210131,11.54331
205,2.0,2,-1,1,5.5,2023-06-03 9:43:37,Ninh Sơn,Ninh Thuận,106.0989034,11.3239888
206,56.0,-1,2,-1,5.6,2023-05-21 20:17:42,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
207,60.0,-1,2,-1,6.6,2023-05-04 10:01:35,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
208,7.0,4,2,4,6.1,2023-04-21 11:09:39,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
209,48.0,-1,-1,-1,0.0,2023-06-10 14:26:17,Thanh Xuân,Hà Nội,105.79994,20.989273
210,100.0,3,-1,2,0.85,2023-06-06 9:20:30,Biên Hòa,Đồng Nai,107.3210131,11.54331
211,81.0,2,2,-1,5.1,2023-05-15 14:27:13,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
212,40.0,4,4,4,5.5,2023-06-03 9:43:37,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
213,61.0,3,2,4,4.0,2023-05-29 16:40:39,Bình Tân,TP Hồ Chí Minh,106.556147,10.724754
214,22.0,2,1,-1,2.8,2023-05-18 16:57:44,Quận 11,TP Hồ Chí Minh,106.627838,10.748557
215,38.0,3,-1,4,3.85,2023-04-23 9:44:03,Hai Bà Trưng,Hà Nội,105.855885,21.0115747
216,45.0,3,3,3,3.28,2023-05-24 14:44:48,Hai Bà Trưng,Hà Nội,105.855885,21.0115747
217,4.0,3,5,4,4.6,2023-05-30 8:51:51,Cầu Giấy,Hà Nội,105.8028938,21.0288366
218,38.0,3,3,3,4.4,2023-05-19 11:55:51,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
219,65.0,-1,-1,-1,6.0,2023-05-20 13:31:14,Cầu Giấy,Hà Nội,105.8028938,21.0288366
220,80.0,4,3,4,8.2,2023-03-27 7:06:12,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
221,32.0,4,4,4,5.5,2023-06-03 9:43:37,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
222,100.0,3,1,3,0.85,2023-06-06 9:20:30,Hóc Môn,TP Hồ Chí Minh,106.594891,10.888477
223,42.0,2,1,2,5.7,2023-04-15 6:26:35,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
224,44.0,3,3,2,5.5,2023-06-03 9:43:37,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
225,65.0,-1,-1,-1,2.9,2023-05-08 10:39:33,Ngũ Hành Sơn,Đà Nẵng,108.2542095,15.9978454
226,5.5,5,5,4,14.0,2023-04-26 17:39:32,Hai Bà Trưng,Hà Nội,105.855885,21.0115747
227,10.0,5,5,-1,0.0,2023-06-10 14:26:17,Quận 3,TP Hồ Chí Minh,106.660335,10.771637
228,20.0,2,1,2,3.7,2023-05-02 8:27:09,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
229,38.0,3,3,3,4.4,2023-05-19 11:55:51,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
230,45.0,2,2,2,3.9,2023-05-13 20:15:20,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
231,45.0,2,2,2,3.9,2023-05-13 20:15:20,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
232,51.0,4,6,5,12.7,2022-09-07 5:07:39,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
233,6.0,-1,4,-1,25.0,2023-02-26 21:02:21,Đống Đa,Hà Nội,105.823545,21.023833
234,160.0,3,-1,3,4.5,2023-05-26 21:22:25,Cà Mau,Cà Mau,105.096467,9.0821978
235,47.2,4,2,5,7.4,2023-03-12 18:29:32,Gò Vấp,TP Hồ Chí Minh,106.66333,10.79667
